Product Name,Price,Rating
unknown-product,$0,-1
JBL C100SI In-Ear Deep Bass Headphones with Mic (Black),₹599,4.0 out of 5 stars
boAt BassHeads 100 in-Ear Headphones with Mic (Black),₹392,4.1 out of 5 stars
Boat BassHeads 900 Wired Headphone with Mic,₹749,4.2 out of 5 stars
"Sony MDR-ZX110A On-Ear Stereo Headphones (White), without mic",₹635,4.0 out of 5 stars
Boat Rockerz 400 On-Ear Bluetooth Headphones (Carbon Black),"₹1,498",4.1 out of 5 stars
boAt BassHeads 225 in-Ear Super Extra Bass Headphones (Black),₹549,3.9 out of 5 stars
"JBL C300SI On-Ear Dynamic Wired Headphones, Without Mic (Black)",₹699,3.9 out of 5 stars
"Infinity (JBL) Glide 500 Wireless Headphones with 20 Hours Playtime (Quick Charge), Deep Bass and Dual Equalizer (Charcoal Black)","₹1,399",4.2 out of 5 stars
JBL C50HI in-Ear Headphones with Mic (Blue),₹449,3.7 out of 5 stars
boAt Rockerz 450 Wireless Bluetooth Headphone (Luscious Black),"₹1,499",4.1 out of 5 stars
boAt Rockerz 255 Sports Bluetooth Wireless Earphone with Immersive Stereo Sound and Hands Free Mic (Active Black),"₹1,499",3.9 out of 5 stars
"Sennheiser CX 180 Street II In-Ear Headphone (Black), without Mic.",₹699,4.2 out of 5 stars
"Cosmic Byte GS410 Headphones with Mic and for PS4, Xbox One, Laptop, PC, iPhone and Android Phones (Black/Blue)",₹949,4.1 out of 5 stars
JBL C200SI Super Deep Bass in-Ear Headphones with Mic (Mystic Blue),₹699,4.1 out of 5 stars
MuveAcoustics Impulse Wired On-Ear Headphones with Microphone (Flagship Blue),₹549,4.3 out of 5 stars
JBL T460BT Extra Bass Wireless On-Ear Headphones with 11 Hours Playtime & Mic (Black),"₹2,399",4.2 out of 5 stars
